holdout,tissue,method,val_auc_mean,val_auc_std,held_auc_mean,held_auc_std,held_ap_mean,held_f1_mean,held_mcc_mean,n_folds,held_macro_f1_mean,held_bal_acc_mean,held_mcc_tuned_mean,held_macro_f1_tuned_mean,held_bal_acc_tuned_mean,tuned_threshold_mean,tuned_threshold_min,tuned_threshold_max
Heming,CSF,DE_top,0.9625,0.0838525491562421,0.711111111111111,0.0321935921244575,0.7485731751908222,0.6564102564102564,0.0,5,0.3682051282051282,0.5,0.0769546917791003,0.4374358974358974,0.5333333333333334,0.5243722222072658,0.3395356834649004,0.6585550656699897
Heming,CSF,ElasticNet,0.9416666666666668,0.0812232862067413,0.654320987654321,0.0359935302150944,0.6885513252179919,0.6462073578595318,0.0049451233752182,5,0.4238029796290665,0.5111111111111111,0.083266488082482,0.4467493665754535,0.5333333333333333,0.4615437097379741,0.27318217485866,0.5345363738312108
Heming,CSF,HVG,0.9166666666666666,0.0779511955577904,0.728395061728395,0.0804839803111438,0.7238753004439278,0.7104204780726521,0.2965748340477413,5,0.6004982843243714,0.6333333333333333,0.2706702757653177,0.5901411414672284,0.6222222222222222,0.5172707175295909,0.5,0.5863535876479541
Heming,CSF,LASSO,0.9041666666666666,0.1409910359640719,0.7308641975308642,0.062586626447588,0.7835109117462059,0.6508717948717948,0.0,5,0.3817995337995338,0.5,0.0894427190999915,0.4419694155174031,0.5444444444444445,0.5405201201554581,0.3070257949931113,0.7255024744800307
Heming,CSF,QUBO,0.9208333333333334,0.1353365147409309,0.7185185185185186,0.0403837709476447,0.7425016740703014,0.6564102564102564,0.0,5,0.3682051282051282,0.5,0.0520855754543214,0.4305908584169454,0.5333333333333333,0.5386478147478595,0.3842138385812063,0.6788916329758092
Heming,CSF,mRMR,0.9208333333333334,0.1353365147409309,0.7753086419753086,0.0649762832935346,0.8109369533879338,0.6782051282051282,0.0894427190999915,5,0.409102564102564,0.5333333333333333,0.0683763458757827,0.4321177156177156,0.5333333333333334,0.5499352889141382,0.3686088052681069,0.6451453923596505
Pappalardo,CSF,DE_top,0.8099999999999999,0.1267105187249881,0.9333333333333332,0.0781735959970571,0.9402380952380952,0.7752247752247753,0.5624060575814197,5,0.7118548118548119,0.75,0.6359112470194676,0.7700446775446775,0.8099999999999999,0.5728725299313323,0.4762770841477949,0.6591084139855223
Pappalardo,CSF,ElasticNet,0.8666666666666666,0.1274754878398196,0.8733333333333334,0.1299572579307862,0.8877619047619048,0.7345238095238095,0.4198275472382913,5,0.6058333333333333,0.6833333333333333,0.657667857148508,0.8083394383394383,0.8133333333333332,0.6540052236589863,0.6153569464243691,0.7142140737605329
Pappalardo,CSF,HVG,0.8466666666666667,0.1101766258735894,0.9,0.0471404520791031,0.9233492063492064,0.6895604395604396,0.2839359920397635,5,0.5114468864468865,0.6166666666666666,0.2260842186907964,0.5183638583638583,0.6033333333333333,0.5441027884062299,0.3447845762052939,0.6521930496166928
Pappalardo,CSF,LASSO,0.8466666666666667,0.1693123346560039,0.8733333333333333,0.1256096245427784,0.8707619047619047,0.7023809523809523,0.3101457050332449,5,0.5311904761904762,0.6333333333333333,0.4142674397943238,0.6320238095238095,0.69,0.5723929665197721,0.5,0.7068787843780371
Pappalardo,CSF,QUBO,0.8166666666666667,0.142886901662352,0.96,0.0278886675511359,0.9605714285714286,0.7267399267399267,0.4534744178337156,5,0.6252747252747253,0.6833333333333333,0.5970358377772728,0.7446936396936397,0.7733333333333334,0.5892726495240025,0.5,0.696598119410788
Pappalardo,CSF,mRMR,0.8066666666666666,0.141715677796542,0.92,0.1120515754264774,0.9367460317460315,0.7395604395604396,0.479684130827197,5,0.6450183150183151,0.7,0.6278406467922596,0.7978632478632479,0.8066666666666666,0.5858652121034157,0.5,0.6231418857251686
Ramesh,CSF,DE_top,0.9433333333333334,0.0878761755097604,0.7761904761904762,0.1738258309375616,0.9402807976337388,0.4788437205545833,0.2220467590426015,5,0.4336872027779282,0.638095238095238,0.309276857231875,0.5458855472013366,0.6785714285714286,0.4097586291332714,0.2770161654749276,0.5
Ramesh,CSF,ElasticNet,0.86,0.2190890230020664,0.8476190476190476,0.0548136401581968,0.9665137290347374,0.6608187134502923,0.4098896905611728,5,0.5740632028789923,0.7571428571428571,0.4182806425742942,0.5902536790694686,0.7452380952380953,0.4920006441154401,0.4600032205772002,0.5
Ramesh,CSF,HVG,0.8400000000000001,0.1031449896451053,0.438095238095238,0.0548136401581968,0.8571608864991218,0.3414069487444101,0.2109255051086265,5,0.3484098727210182,0.6071428571428571,-0.0450072081954533,0.3431613756613756,0.4738095238095237,0.4457987933889742,0.2968222366468218,0.675408942457901
Ramesh,CSF,LASSO,0.8166666666666667,0.1707825127659933,0.7238095238095238,0.215998446286509,0.9240280995848222,0.5028534775674364,0.1899251615352926,5,0.4409721933291727,0.619047619047619,0.1700768082380961,0.3530781499202552,0.588095238095238,0.5712591499431372,0.5,0.7025688720739334
Ramesh,CSF,QUBO,0.9066666666666666,0.1460593486680443,0.7666666666666667,0.1892819706128741,0.942690451471964,0.526525179102915,0.3119333134980883,5,0.4706021617439708,0.6857142857142857,0.3243919299263894,0.4811291709666322,0.6928571428571428,0.491009562429186,0.4160264110996386,0.5390214010462916
Ramesh,CSF,mRMR,0.8966666666666667,0.1416176385749866,0.7428571428571429,0.2577594019566544,0.9245289281213652,0.5348437205545833,0.2790270472724205,5,0.4854967265874521,0.6738095238095237,0.2062654793731361,0.4824435402619546,0.6285714285714286,0.4681805263176577,0.3530822809156598,0.5760434051504055
