method,AUC,sigma_AUC,AP,F1,MCC,n_cohorts,n_folds_total,tissue
DE_top,0.741657848324515,0.06524779969902893,0.8172897750225014,0.5783212471908125,0.0999881342681045,3,15,CSF
ElasticNet,0.7789300411522634,0.04115785970178008,0.8695485229315761,0.5875455067808009,0.21588495048632653,3,15,CSF
HVG,0.7120517342739565,0.047951460232380665,0.7970154251806912,0.5742505564610828,0.13485308829624232,3,15,CSF
LASSO,0.7792710170487949,0.06820410551972889,0.8557200871715344,0.6097226930201759,0.20555707975085555,3,15,CSF
QUBO,0.7879952968841858,0.04350466815198092,0.8462602244731096,0.634602286258633,0.25828438088498923,3,15,CSF
DE_top,0.6904761904761905,0.03367175148507361,0.8039912680301335,0.73007343550447,0.0010399117797921617,2,8,PBMC
ElasticNet,0.7603174603174603,0.022447834323382498,0.8645915672018614,0.75255291005291,0.13170386212377666,2,8,PBMC
HVG,0.7420634920634921,0.07520024498333125,0.8594924269241496,0.748556376573618,0.19255305357090896,2,8,PBMC
LASSO,0.7563492063492063,0.048262843795272396,0.8527154010399809,0.7482520385106592,0.1219703288546495,2,8,PBMC
QUBO,0.7674603174603175,0.03254935976890461,0.8295965039084787,0.7432627257799671,0.12495897215148866,2,8,PBMC
