cohort,fold,K,n_cell_types,val_auc,held_auc,n_val,n_held
Pappalardo,1,3,8,1.0,0.9333333333333333,9,11
Pappalardo,1,5,8,1.0,0.9,9,11
Pappalardo,1,8,8,1.0,0.8333333333333334,9,11
Pappalardo,1,10,8,1.0,0.9,9,11
Pappalardo,1,15,8,1.0,0.9666666666666667,9,11
Pappalardo,1,20,8,1.0,0.9,9,11
Pappalardo,1,25,8,1.0,0.8666666666666667,9,11
Pappalardo,1,30,8,1.0,0.9333333333333333,9,11
Pappalardo,1,40,8,1.0,0.9333333333333333,9,11
Pappalardo,1,50,8,1.0,0.9666666666666667,9,11
Pappalardo,2,3,8,1.0,0.9666666666666667,9,11
Pappalardo,2,5,8,1.0,0.9666666666666667,9,11
Pappalardo,2,8,8,0.95,0.9333333333333333,9,11
Pappalardo,2,10,8,0.95,0.9333333333333333,9,11
Pappalardo,2,15,8,1.0,1.0,9,11
Pappalardo,2,20,8,0.95,1.0,9,11
Pappalardo,2,25,8,0.9,1.0,9,11
Pappalardo,2,30,8,0.8500000000000001,1.0,9,11
Pappalardo,2,40,8,1.0,0.9666666666666667,9,11
Pappalardo,2,50,8,0.9,0.9666666666666667,9,11
Pappalardo,3,3,8,1.0,0.9333333333333333,9,11
Pappalardo,3,5,8,1.0,1.0,9,11
Pappalardo,3,8,8,0.95,1.0,9,11
Pappalardo,3,10,8,0.9,1.0,9,11
Pappalardo,3,15,8,0.95,0.9333333333333333,9,11
Pappalardo,3,20,8,0.95,1.0,9,11
Pappalardo,3,25,8,0.95,1.0,9,11
Pappalardo,3,30,8,1.0,0.9333333333333333,9,11
Pappalardo,3,40,8,1.0,0.9,9,11
Pappalardo,3,50,8,1.0,0.8333333333333334,9,11
Pappalardo,4,3,8,1.0,0.9333333333333333,8,11
Pappalardo,4,5,8,1.0,1.0,8,11
Pappalardo,4,8,8,0.9333333333333333,1.0,8,11
Pappalardo,4,10,8,0.9333333333333333,1.0,8,11
Pappalardo,4,15,8,0.9333333333333333,1.0,8,11
Pappalardo,4,20,8,0.8,1.0,8,11
Pappalardo,4,25,8,0.8,0.9666666666666667,8,11
Pappalardo,4,30,8,0.6666666666666667,0.9,8,11
Pappalardo,4,40,8,0.6666666666666667,0.9666666666666667,8,11
Pappalardo,4,50,8,0.6666666666666667,1.0,8,11
Pappalardo,5,3,8,1.0,0.9333333333333333,4,11
Pappalardo,5,5,8,0.6666666666666666,1.0,4,11
Pappalardo,5,8,8,0.6666666666666666,0.9333333333333333,4,11
Pappalardo,5,10,8,0.6666666666666666,0.9,4,11
Pappalardo,5,15,8,0.6666666666666666,1.0,4,11
Pappalardo,5,20,8,0.6666666666666666,1.0,4,11
Pappalardo,5,25,8,0.6666666666666666,1.0,4,11
Pappalardo,5,30,8,0.6666666666666666,1.0,4,11
Pappalardo,5,40,8,0.6666666666666666,1.0,4,11
Pappalardo,5,50,8,0.6666666666666666,1.0,4,11
Heming,1,3,8,0.75,0.691358024691358,8,18
Heming,1,5,8,0.875,0.6049382716049383,8,18
Heming,1,8,8,0.875,0.6172839506172839,8,18
Heming,1,10,8,0.8125,0.654320987654321,8,18
Heming,1,15,8,0.75,0.6790123456790123,8,18
Heming,1,20,8,0.75,0.7037037037037037,8,18
Heming,1,25,8,0.8125,0.7037037037037037,8,18
Heming,1,30,8,0.75,0.7160493827160493,8,18
Heming,1,40,8,0.8125,0.7037037037037037,8,18
Heming,1,50,8,0.8125,0.6666666666666666,8,18
Heming,2,3,8,0.5,0.7654320987654322,7,18
Heming,2,5,8,0.5,0.7160493827160495,7,18
Heming,2,8,8,0.9166666666666667,0.5925925925925926,7,18
Heming,2,10,8,0.7500000000000001,0.6543209876543209,7,18
Heming,2,15,8,0.9166666666666667,0.654320987654321,7,18
Heming,2,20,8,0.75,0.6419753086419753,7,18
Heming,2,25,8,0.8333333333333334,0.7283950617283951,7,18
Heming,2,30,8,0.8333333333333334,0.7407407407407408,7,18
Heming,2,40,8,0.8333333333333334,0.7530864197530864,7,18
Heming,2,50,8,0.8333333333333334,0.7160493827160493,7,18
Heming,3,3,8,0.75,0.6666666666666666,7,18
Heming,3,5,8,0.6666666666666667,0.6419753086419753,7,18
Heming,3,8,8,1.0,0.6790123456790123,7,18
Heming,3,10,8,1.0,0.6296296296296295,7,18
Heming,3,15,8,1.0,0.6296296296296297,7,18
Heming,3,20,8,1.0,0.691358024691358,7,18
Heming,3,25,8,1.0,0.6666666666666666,7,18
Heming,3,30,8,1.0,0.6666666666666667,7,18
Heming,3,40,8,1.0,0.691358024691358,7,18
Heming,3,50,8,1.0,0.6790123456790124,7,18
Heming,4,3,8,1.0,0.8641975308641975,6,18
Heming,4,5,8,1.0,0.8148148148148148,6,18
Heming,4,8,8,1.0,0.7777777777777778,6,18
Heming,4,10,8,1.0,0.7654320987654321,6,18
Heming,4,15,8,1.0,0.7037037037037037,6,18
Heming,4,20,8,1.0,0.654320987654321,6,18
Heming,4,25,8,1.0,0.7160493827160493,6,18
Heming,4,30,8,1.0,0.728395061728395,6,18
Heming,4,40,8,1.0,0.7037037037037037,6,18
Heming,4,50,8,1.0,0.7283950617283951,6,18
Heming,5,3,8,1.0,0.8024691358024691,4,18
Heming,5,5,8,0.6666666666666666,0.7654320987654322,4,18
Heming,5,8,8,1.0,0.8271604938271605,4,18
Heming,5,10,8,1.0,0.8641975308641975,4,18
Heming,5,15,8,1.0,0.7037037037037037,4,18
Heming,5,20,8,1.0,0.7160493827160493,4,18
Heming,5,25,8,1.0,0.7037037037037037,4,18
Heming,5,30,8,1.0,0.691358024691358,4,18
Heming,5,40,8,1.0,0.691358024691358,4,18
Heming,5,50,8,1.0,0.7160493827160495,4,18
Ramesh,1,3,8,0.19999999999999998,0.9285714285714286,8,17
Ramesh,1,5,8,0.4,0.9047619047619048,8,17
Ramesh,1,8,8,0.6,0.9047619047619048,8,17
Ramesh,1,10,8,0.5333333333333333,0.8571428571428572,8,17
Ramesh,1,15,8,0.6,0.9285714285714286,8,17
Ramesh,1,20,8,0.6666666666666666,0.9285714285714286,8,17
Ramesh,1,25,8,0.8666666666666667,0.9285714285714286,8,17
Ramesh,1,30,8,0.8666666666666667,0.9285714285714286,8,17
Ramesh,1,40,8,0.8666666666666667,0.9523809523809524,8,17
Ramesh,1,50,8,0.9333333333333333,0.9523809523809524,8,17
Ramesh,2,3,8,0.8333333333333333,0.9047619047619048,7,17
Ramesh,2,5,8,1.0,0.9523809523809524,7,17
Ramesh,2,8,8,1.0,0.9523809523809524,7,17
Ramesh,2,10,8,1.0,0.9047619047619048,7,17
Ramesh,2,15,8,1.0,0.9285714285714286,7,17
Ramesh,2,20,8,1.0,0.9523809523809524,7,17
Ramesh,2,25,8,1.0,0.9285714285714285,7,17
Ramesh,2,30,8,1.0,0.9285714285714285,7,17
Ramesh,2,40,8,1.0,0.9285714285714285,7,17
Ramesh,2,50,8,1.0,0.9285714285714285,7,17
Ramesh,3,3,8,1.0,0.9047619047619048,7,17
Ramesh,3,5,8,1.0,1.0,7,17
Ramesh,3,8,8,1.0,0.8571428571428571,7,17
Ramesh,3,10,8,1.0,1.0,7,17
Ramesh,3,15,8,1.0,0.9285714285714285,7,17
Ramesh,3,20,8,1.0,0.9761904761904762,7,17
Ramesh,3,25,8,1.0,0.9761904761904762,7,17
Ramesh,3,30,8,1.0,0.9761904761904762,7,17
Ramesh,3,40,8,1.0,0.9761904761904762,7,17
Ramesh,3,50,8,1.0,0.9523809523809524,7,17
Ramesh,4,3,8,0.49999999999999994,0.8571428571428571,7,17
Ramesh,4,5,8,0.5,0.9285714285714285,7,17
Ramesh,4,8,8,0.5833333333333333,0.9761904761904762,7,17
Ramesh,4,10,8,0.6666666666666666,0.9761904761904762,7,17
Ramesh,4,15,8,0.6666666666666666,0.9523809523809524,7,17
Ramesh,4,20,8,0.6666666666666666,0.9047619047619048,7,17
Ramesh,4,25,8,0.6666666666666666,0.8571428571428572,7,17
Ramesh,4,30,8,0.6666666666666666,0.9047619047619048,7,17
Ramesh,4,40,8,0.6666666666666666,0.8571428571428572,7,17
Ramesh,4,50,8,0.6666666666666666,0.8095238095238095,7,17
Ramesh,5,3,7,1.0,0.9523809523809524,4,17
Ramesh,5,5,7,1.0,0.8809523809523809,4,17
Ramesh,5,8,7,1.0,0.9285714285714285,4,17
Ramesh,5,10,7,1.0,0.9047619047619048,4,17
Ramesh,5,15,7,0.75,0.9523809523809524,4,17
Ramesh,5,20,7,0.75,0.9761904761904762,4,17
Ramesh,5,25,7,1.0,0.9761904761904762,4,17
Ramesh,5,30,7,1.0,0.9523809523809524,4,17
Ramesh,5,40,7,1.0,0.9761904761904762,4,17
Ramesh,5,50,7,1.0,1.0,4,17
