gene,freq,pct,cell_type,n_panels
CST3,8,88.88888888888889,Mono,9
FTH1,5,55.55555555555556,Mono,9
FTL,8,88.88888888888889,Mono,9
HLA-DPB1,6,66.66666666666667,Mono,9
IFI30,6,66.66666666666667,Mono,9
LYZ,6,66.66666666666667,Mono,9
SAT1,6,66.66666666666667,Mono,9
TPT1,5,55.55555555555556,Mono,9
CCL5,8,66.66666666666667,NK,12
CRIP1,9,75.0,NK,12
KLRB1,7,58.333333333333336,NK,12
KLRC1,6,50.0,NK,12
SPINK2,7,58.333333333333336,NK,12
GZMA,9,69.23076923076923,dnT,13
IL32,7,53.84615384615385,dnT,13
ISG15,8,61.53846153846154,dnT,13
MT2A,7,53.84615384615385,gdT,13
SRGN,8,61.53846153846154,gdT,13
TPT1,7,53.84615384615385,gdT,13
