tissue,method,auc_mean,auc_std,ap_mean,f1_mean,mcc_mean
ALL,DE_top,0.6704291593180481,0.13504683764955597,0.7495011952722037,0.6185254933218319,0.22173050759085364
ALL,ElasticNet,0.6862551440329218,0.1358667262868048,0.7542056354528345,0.6191595441595442,0.2609460098207777
ALL,HVG,0.6207407407407407,0.10343085800103986,0.7544071898637724,0.5686409082061257,0.15650340937443943
ALL,LASSO,0.7213521457965903,0.15700108741576727,0.7513634988140123,0.6225010979358806,0.26919666896447136
ALL,QUBO,0.6563080540858318,0.10561974172412664,0.7328321803382494,0.5757629994330761,0.1627932970994284
CSF,DE_top,0.788833039388595,0.09595079221667832,0.8549771092521442,0.5614616402116402,0.15858581956669915
CSF,ElasticNet,0.788503821281599,0.09213779307486815,0.8802338154138457,0.6336459836459837,0.2852733373452135
CSF,HVG,0.7087536743092299,0.0908805530109447,0.7987037050769544,0.5837576933082721,0.2118131879714641
CSF,LASSO,0.8017460317460318,0.11081059132779553,0.8807093800871812,0.6467474296192832,0.29553488062358646
CSF,QUBO,0.7640270429159318,0.015074881325753027,0.8193508915717717,0.5914248355466891,0.26431405881571274
